department_code,display_name
MATH,Math
SCIENCE,Science
CTE,CTE
SOCIAL_SCIENCE,Social Science
PE_HEALTH,PE/Health
VAPA,VAPA
ENGLISH,English
WORLD_LANGUAGE,World Language
SWD_MILD_MOD,SWD (Mild/Mod)
SWD_MOD_SEV,SWD (Mod/Sev)
RELEASES,Releases
